"id";"wid";"name";"friendly_name"
1;2;"Sunny day";"Sunny"
2;3;"Partly cloudy (night)";"Partly Cloudy"
3;4;"Partly cloudy (day)";"Partly Cloudy"
4;5;"Not used";"N/A"
5;6;"Mist";"Mist"
6;7;"Fog";"Fog"
7;8;"Cloudy";"Cloudy"
8;9;"Overcast";"Overcast"
9;10;"Light rain shower (night)";"Light Rain"
10;11;"Light rain shower (day)";"Light Rain"
11;12;"Drizzle";"Drizzle"
12;13;"Light rain";"Light Rain"
13;14;"Heavy rain shower (night)";"Heavy Rain"
14;15;"Heavy rain shower (day)";"Heavy Rain"
15;16;"Heavy rain";"Heavy Rain"
16;17;"Sleet shower (night)";"Sleet"
17;18;"Sleet shower (day)";"Sleet"
18;19;"Sleet";"Sleet"
19;20;"Hail shower (night)";"Hail"
20;21;"Hail shower (day)";"Hail"
21;22;"Hail";"Hail"
22;23;"Light snow shower (night)";"Light Snow"
23;24;"Light snow shower (day)";"Light Snow"
24;25;"Light snow";"Light Snow"
25;26;"Heavy snow shower (night)";"Heavy Snow"
26;27;"Heavy snow shower (day)";"Heavy Snow"
27;28;"Heavy snow";"Heavy Snow"
28;29;"Thunder shower (night)";"Thunder"
29;30;"Thunder shower (day)";"Thunder"
30;31;"Thunder";"Thunder"
